 A 1. Leki refundowane dostępne w aptece na receptę w całym zakresie zarejestrowanych wskazań i przeznaczeń lub we wskazaniu określonym stanem klinicznym,,,,,,,,,,,,,,,
LP,Substancja czynna,Nazwa  postać i dawka,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt,Termin wejścia w życie decyzji,Okres obowiązywania decyzji,Grupa limitowa,Urzędowa cena zbytu,Cena hurtowa brutto,Cena detaliczna,Wysokość limitu finansowania,Zakres wskazań objętych refundacją,Zakres wskazań pozarejestracyjnych objętych refundacją,Poziom odpłatności,Wysokość dopłaty świadczeniobiorcy
259,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 500+125 mg",14 szt.,05909997219684,"2018-11-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","11,99","12,59","16,54","15,03",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"9,03"
260,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 500+125 mg",14 szt.,05909997199702,"2019-03-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","12,85","13,49","17,44","15,03",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"9,93"
261,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 500+125 mg",14 szt. (2 blist.po 7 szt.),05909990368235,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","13,39","14,06","18,01","15,03",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"10,50"
262,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909997230740,"2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","19,66","20,64","26,35","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"13,20"
263,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909997198385,"2019-03-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","20,95","22,00","27,71","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,56"
264,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909997230542,"2018-11-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","20,95","22,00","27,71","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,56"
265,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909991209483,"2018-07-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","21,04","22,09","27,80","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,65"
266,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909997217345,"2018-11-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","21,05","22,10","27,81","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,66"
267,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt.,05909991248949,"2018-09-01  - dla kolumny M, 2018-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","21,05","22,10","27,81","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,66"
268,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",14 szt. (2 blist.po 7 szt.),05909990717521,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","24,14","25,35","31,06","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"17,91"
269,Amoxicillinum + Acidum clavulanicum,"Augmentin, tabl. powl., 875+125 mg",20 szt.,05909991093990,"2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","29,03","30,48","37,57","37,57",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"18,79"
270,Amoxicillinum + Acidum clavulanicum,"Augmentin ES, proszek do sporządzania zawiesiny doustnej, 600+42,9 mg/5 ml",100 ml,05909990614318,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","30,19","31,70","37,51","27,81",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"23,61"
271,Amoxicillinum + Acidum clavulanicum,"Augmentin ES, proszek do sporządzania zawiesiny doustnej, 600+42,9 mg/5 ml",50 ml,05909990614288,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","19,05","20,00","23,70","13,91",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"16,75"
272,Amoxicillinum + Acidum clavulanicum,"Co-amoxiclav Bluefish, tabl. powl., 875+125 mg",14 szt.,05909990744848,"2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","19,17","20,13","25,84","25,84",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"12,92"
273,Amoxicillinum + Acidum clavulanicum,"Hiconcil combi, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml",70 ml (14 g),05909991233846,"2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","9,77","10,26","13,82","12,98",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"7,33"
274,Amoxicillinum + Acidum clavulanicum,"Hiconcil combi, tabl. powl., 500+125 mg",14 szt.,05909991233525,"2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","11,88","12,47","16,42","15,03",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"8,91"
275,Amoxicillinum + Acidum clavulanicum,"Hiconcil combi, tabl. powl., 875+125 mg",14 szt.,05909991233624,"2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","20,79","21,83","27,54","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,39"
276,Amoxicillinum + Acidum clavulanicum,"Polamoklav, tabl. powl., 875+125 mg",14 szt.,05909991392772,"2021-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","19,66","20,64","26,35","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"13,20"
277,Amoxicillinum + Acidum clavulanicum,"Ramoclav, tabl. powl., 875+125 mg",14 szt.,05909991423513,"2020-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","18,04","18,94","24,65","24,65",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"12,33"
278,Amoxicillinum + Acidum clavulanicum,"Ramoclav, tabl. powl., 875+125 mg",14 szt.,05909991042073,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","20,95","22,00","27,71","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,56"
279,Amoxicillinum + Acidum clavulanicum,"Ramoclav, tabl. powl., 875+125 mg",21 szt.,05909991423520,"2020-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","27,05","28,40","35,72","35,72",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"17,86"
280,Amoxicillinum + Acidum clavulanicum,"Ramoclav, tabl. powl., 875+125 mg",21 szt.,05909991042080,"2018-09-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","30,62","32,15","39,47","39,45",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"19,75"
281,Amoxicillinum + Acidum clavulanicum,"Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml","140 ml (25,2 g)",05909990793587,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","22,66","23,79","29,38","25,96",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"16,40"
282,Amoxicillinum + Acidum clavulanicum,"Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml","35 ml (6,3 g)",05909990793594,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","8,41","8,83","10,87","6,49",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"7,63"
283,Amoxicillinum + Acidum clavulanicum,"Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml","70 ml (12,6 g)",05909990793600,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.2, Penicyliny doustne z inhibitorami betalaktamaz - płynne postacie farmaceutyczne","15,11","15,87","19,43","12,98",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"12,94"
284,Amoxicillinum + Acidum clavulanicum,"Taromentin, tabl. powl., 500+125 mg",14 szt. (2 blist.po 7 szt.),05909990430628,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","13,34","14,01","17,96","15,03",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"10,45"
285,Amoxicillinum + Acidum clavulanicum,"Taromentin, tabl. powl., 500+125 mg",21 szt. (3 blist.po 7 szt.),05909990430611,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","19,87","20,86","26,02","22,54",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"14,75"
286,Amoxicillinum + Acidum clavulanicum,"Taromentin, tabl. powl., 875+125 mg",14 szt. (2 blist.po 7 szt.),05909991087715,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","23,00","24,15","29,86","26,30",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"16,71"
287,Amoxicillinum + Acidum clavulanicum,"Taromentin, tabl. powl., 875+125 mg",21 szt.,05904016012444,"2019-11-01  - dla kolumny M, 2019-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","30,60","32,13","39,45","39,45",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"19,73"
288,Amoxicillinum trihydricum + Kalii clavulonas,"Amoxicillin + Clavulanic Acid Aurovitas, tabl. powl., 875+125 mg",14 szt.,05909991395759,"2020-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","89.1, Penicyliny doustne z inhibitorami betalaktamaz - stałe postacie farmaceutyczne","17,23","18,09","23,80","23,80",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,zakażenia u pacjentów z niedoborami odporności - profilaktyka,50%,"11,90"
289,Anastrozolum,"Anastrozol Bluefish, tabl. powl., 1 mg",28 szt.,05909990802432,"2019-05-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","40,28","42,29","51,11","51,11","Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii, Wczesny rak piersi w I rzucie hormonoterapii",hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"0,00"
290,Anastrozolum,"Anastrozol Teva, tabl. powl., 1 mg",28 szt.,05909991324315,"2017-09-01  - dla kolumny M, 2020-01-01  - dla kolumny N","5 lat - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","37,80","39,69","48,51","48,51",Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"0,00"
291,Anastrozolum,"Anastrozol Teva, tabl. powl., 1 mg",28 szt.,05909990082162,"2019-05-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","46,98","49,33","58,15","51,70","Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii, Wczesny rak piersi w I rzucie hormonoterapii",hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"6,45"
292,Anastrozolum,"Apo-Nastrol, tabl. powl., 1 mg",28 szt.,05909990802050,"<1>2019-05-01/<2>2019-09-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","48,44","50,86","59,68","51,70",<1>Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii; <2>Wczesny rak piersi w I rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"7,98"
293,Anastrozolum,"Arimidex, tabl. powl., 1 mg",28 szt. (2 blist.po 14 szt.),05909990756711,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","70,33","73,85","82,67","51,70",Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"30,97"
294,Anastrozolum,"Atrozol, tabl. powl., 1 mg",28 szt. (1 poj.po 28 szt.),05909991090029,"<1>2019-01-01/<2>2019-05-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","47,52","49,90","58,72","51,70",<1>Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii; <2>Wczesny rak piersi w I rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"7,02"
295,Anastrozolum,"Egistrozol, tabl. powl., 1 mg",28 tabl. (2 blist.po 14 szt.),05909990082148,"2019-01-01  - dla kolumny M, 2020-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","132.0, Leki przeciwnowotworowe i immunomodulujące - inhibitory enzymów - doustne inhibitory aromatazy","51,62","54,20","63,03","51,70",Nowotwory złośliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,"11,33"
296,Apixabanum,"Eliquis, tabl. powl., 2.5 mg",20 tabl.,05909990861040,2018-07-01,2 lata 10 miesięcy,"22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych","91,29","95,85","103,52","40,17",Żylne powikłania zakrzepowo-zatorowe u dorosłych pacjentów po przebytej planowej alloplastyce całkowitej stawu biodrowego (do 38 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,,30%,"75,40"
297,Aprepitantum,"Aprepitant Accord, kaps. twarde, 125 mg, 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991400576,"2020-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","8.0, Leki przeciwwymiotne - inne - aprepitant","64,80","68,04","79,34","79,34",Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,wczesne lub opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem doksorubicyny i cyklofosfamidu - profilaktyka,ryczałt,"3,20"
298,Aprepitantum,"Aprepitant Mylan, kaps. twarde, 125 mg, 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991352547,"2020-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","8.0, Leki przeciwwymiotne - inne - aprepitant","81,54","85,62","96,92","79,34",Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,wczesne lub opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem doksorubicyny i cyklofosfamidu - profilaktyka,ryczałt,"20,78"
299,Aprepitantum,"Aprepitant Sandoz, kaps. twarde, 125 mg, 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991360818,"2019-11-01  - dla kolumny M, 2019-11-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","8.0, Leki przeciwwymiotne - inne - aprepitant","95,04","99,79","111,09","79,34",Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,wczesne lub opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem doksorubicyny i cyklofosfamidu - profilaktyka,ryczałt,"34,95"
300,Aprepitantum,"Aprepitant Teva, kaps. twarde, 125 mg, 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909991383169,"2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N","3 lata - dla kolumny M, 3 lata - dla kolumny N","8.0, Leki przeciwwymiotne - inne - aprepitant","64,80","68,04","79,34","79,34",Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,wczesne lub opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem doksorubicyny i cyklofosfamidu - profilaktyka,ryczałt,"3,20"
301,Aprepitantum,"Emend, kaps. twarde, 125 mg, 80 mg",3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),05909990007387,"2019-01-01  - dla kolumny M, 2019-03-01  - dla kolumny N","5 lat - dla kolumny M, 3 lata - dla kolumny N","8.0, Leki przeciwwymiotne - inne - aprepitant","64,80","68,04","79,34","79,34",Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,wczesne lub opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem doksorubicyny i cyklofosfamidu - profilaktyka,ryczałt,"3,20"
302,Aripiprazolum,"Abilify, tabl., 15 mg",28 szt.,05909990002306,"2019-05-01  - dla kolumny M, 2019-05-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","102,54","107,67","121,51","115,69",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"9,02"
303,Aripiprazolum,"Abilify, tabletki, 15 mg",56 tabl.,05909990002337,"2019-05-01  - dla kolumny M, 2019-05-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","203,36","213,53","231,37","231,37",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"5,97"
304,Aripiprazolum,"Abilify, tabletki, 30 mg",56 tabl.,05909990002382,"2019-05-01  - dla kolumny M, 2019-05-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","412,56","433,19","456,37","456,37",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"11,95"
305,Aripiprazolum,"Abilify Maintena, proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu, 400 mg",1 fiol. proszku + fiol. rozp.,05702157142200,"2020-09-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.12, Leki przeciwpsychotyczne - aripiprazol do stosowania pozajelitowego - postacie o przedłużonym uwalnianiu","1026,43","1077,75","1117,19","1117,19","Schizofrenia u dorosłych pacjentów, u których uzyskano odpowiednią stabilizację podczas leczenia arypiprazolem w postaci doustnej, w przypadku nawrotu objawów psychotycznych w wyniku udokumentowanego, uporczywego braku współpracy chorego",zespół Tourette'a,bezpłatny do limitu,"0,00"
306,Aripiprazolum,"Apiprax, tabletki, 15 mg",28 szt.,05909991279691,"2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","77,76","81,65","95,49","95,49",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"3,20"
307,Aripiprazolum,"Apra, tabl., 10 mg",28 szt.,05906414001068,"2017-05-01  - dla kolumny M, 2021-01-01  - dla kolumny N","5 lat - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","68,36","71,78","83,40","77,12",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"9,48"
308,Aripiprazolum,"Apra, tabl., 10 mg",56 szt.,05906414001730,"2020-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N","3 lata - dla kolumny M, 2 lata - dla kolumny N","178.7, Leki przeciwpsychotyczne - aripiprazol","138,56","145,49","161,11","154,25",Schizofrenia; Choroba afektywna dwubiegunowa,zespół Tourette'a,ryczałt,"10,84"
