"D. Leki, środki spożywcze specjalnego przeznaczenia żywieniowego oraz wyroby medyczne przysługujące świadczeniobiorcom, o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2020 r. poz. 1398, z późn. zm.)",,,,
LP,Substancja czynna,Nazwa i postać leku,Zawartość opakowania,Numer GTIN lub inny kod jednoznacznie identyfikujący produkt
504,Dorzolamidum + Timololum,"Vizidor Duo, krople do oczu, 20 + 5  mg/ml",3 butelki po 5 ml,05909991311056
505,Doxazosini mesilas,"Doxazosin Aurovitas, tabletki, 2 mg",30 szt.,05909991305291
506,Doxazosini mesilas,"Doxazosin Aurovitas, tabletki, 4 mg",30 szt.,05909991305420
507,Doxazosinum,"Adadox, tabletki, 2 mg",30 tabl.,05909990901890
508,Doxazosinum,"Adadox, tabletki, 4 mg",30 tabl.,05909990902255
509,Doxazosinum,"Adadox, tabletki, 4 mg",90 tabl.,05909990902293
510,Doxazosinum,"Apo-Doxan 1, tabl., 1 mg",30 szt.,05909990969517
511,Doxazosinum,"Apo-Doxan 2, tabl., 2 mg",30 szt.,05909990969616
512,Doxazosinum,"Apo-Doxan 4, tabl., 4 mg",30 szt.,05909990969715
513,Doxazosinum,"Apo-Doxan 4, tabl., 4 mg",60 szt.,05909991271367
514,Doxazosinum,"Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg",30 tabl.,05909990431410
515,Doxazosinum,"Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 8 mg",30 szt.,05909990431519
516,Doxazosinum,"Doxagen, tabl. o przedłużonym uwalnianiu, 4 mg",30 szt. (3 blist.po 10 szt.),05909990037957
517,Doxazosinum,"Doxalong / Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg",30 szt.,05909990790951
518,Doxazosinum,"Doxalong / Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg",90 szt.,05909990884582
519,Doxazosinum,"Doxanorm, tabl., 1 mg",30 szt. (3 blist.po 10 szt.),05909990854318
520,Doxazosinum,"Doxanorm, tabl., 2 mg",30 szt. (3 blist.po 10 szt.),05909990854417
521,Doxazosinum,"Doxanorm, tabl., 4 mg",30 szt. (3 blist.po 10 szt.),05909990854516
522,Doxazosinum,"Doxar, tabl., 1 mg",30 szt. (3 blist.po 10 szt.),05909990484911
523,Doxazosinum,"Doxar, tabl., 2 mg",28 szt.,05909991276492
524,Doxazosinum,"Doxar, tabl., 2 mg",28 szt.,05909991298043
525,Doxazosinum,"Doxar, tabl., 2 mg",30 szt. (3 blist.po 10 szt.),05909990485017
526,Doxazosinum,"Doxar, tabl., 4 mg",120 tabl.,05908289660289
527,Doxazosinum,"Doxar, tabl., 4 mg",28 szt.,05909991276508
528,Doxazosinum,"Doxar, tabl., 4 mg",28 szt.,05909991298050
529,Doxazosinum,"Doxar, tabl., 4 mg",30 szt. (3 blist.po 10 szt.),05909990485116
530,Doxazosinum,"Doxar, tabletki, 4 mg",28 szt.,05909991376475
531,Doxazosinum,"Doxar, tabletki, 4 mg",28 tabl.,05909991325626
532,Doxazosinum,"Doxazosin Genoptim, tabl., 4 mg",30 szt.,05909991288945
533,Doxazosinum,"Doxazosin XR Genoptim, tabl. o przedł. uwalnianiu, 4 mg",30 szt.,05909990066797
534,Doxazosinum,"Doxonex, tabl., 2 mg",30 szt. (3 blist.po 10 szt.),05909991149611
535,Doxazosinum,"Doxonex, tabl., 4 mg",30 szt. (3 blist.po 10 szt.),05909991149710
536,Doxazosinum,"Doxorion, tabletki, 2 mg",30 szt.,05909991320737
537,Doxazosinum,"Doxorion, tabletki, 4 mg",30 szt.,05909991320751
538,Doxazosinum,"Dozox, tabl., 4 mg",30 tabl.,05901720140005
539,Doxazosinum,"Dozox, tabl., 4 mg",90 tabl.,05901720140012
540,Doxazosinum,"Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg",30 szt. (3 blist.po 10 szt.),05909990022571
541,Doxazosinum,"Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg",60 szt.,05909991013820
542,Doxazosinum,"Kamiren, tabl., 2 mg",30 szt. (3 blist.po 10 szt.),05909990491315
543,Doxazosinum,"Kamiren, tabl., 4 mg",30 szt. (3 blist.po 10 szt.),05909990491414
544,Doxazosinum,"Zoxon 1, tabl., 1 mg",30 szt. (2 blist.po 15 szt.),05909990903320
545,Doxazosinum,"Zoxon 2, tabl., 2 mg",30 szt. (3 blist.po 10 szt.),05909990903429
546,Doxazosinum,"Zoxon 4, tabl., 4 mg",30 szt. (3 blist.po 10 szt.),05909990903511
547,Doxazosinum,"Zoxon 4, tabl., 4 mg",90 szt. (9 blist.po 10 szt.),05909990080267
548,Enalaprilum,"Enarenal, tabl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990015030
549,Enalaprilum,"Enarenal, tabl., 10 mg",60 szt. (6 blist.po 10 szt.),05909990015054
550,Enalaprilum,"Enarenal, tabl., 20 mg",30 szt. (3 blist.po 10 szt.),05909990020836
551,Enalaprilum,"Enarenal, tabl., 20 mg",60 szt. (6 blist.po 10 szt.),05909990020829
552,Enalaprilum,"Enarenal, tabl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990014934
553,Enalaprilum,"Enarenal, tabl., 5 mg",60 szt. (6 blist.po 10 szt.),05909990014958
554,Enoxaparinum natricum,"Clexane forte, roztwór do wstrzykiwań, 120 mg/0,8 ml","10 amp.-strz.po 0,8 ml",05909990891429
555,Enoxaparinum natricum,"Clexane forte, roztwór do wstrzykiwań, 150 mg/1 ml",10 amp.-strz.po 1 ml,05909990891528
556,Enoxaparinum natricum,"Clexane, roztwór do wstrzykiwań, 100 mg/ml","10 amp.-strz.po 0,2 ml",05909990048328
557,Enoxaparinum natricum,"Clexane, roztwór do wstrzykiwań, 100 mg/ml","10 amp.-strz.po 0,4 ml",05909990048427
558,Enoxaparinum natricum,"Clexane, roztwór do wstrzykiwań, 100 mg/ml","10 amp.-strz.po 0,6 ml",05909990774821
559,Enoxaparinum natricum,"Clexane, roztwór do wstrzykiwań, 100 mg/ml","10 amp.-strz.po 0,8 ml",05909990775026
560,Enoxaparinum natricum,"Clexane, roztwór do wstrzykiwań, 100 mg/ml",10 amp.-strz.po 1 ml,05909990774920
561,Enoxaparinum natricum,"Losmina, roztwór do wstrzykiwań w ampułko-strzykawce, 100 mg/1 ml",10 amp.-strz.,05909991379001
562,Enoxaparinum natricum,"Losmina, roztwór do wstrzykiwań w ampułko-strzykawce, 20 mg/0,2 ml",10 amp.-strz.,05909991378783
563,Enoxaparinum natricum,"Losmina, roztwór do wstrzykiwań w ampułko-strzykawce, 40 mg/0,4 ml",10 amp.-strz.,05909991379186
564,Enoxaparinum natricum,"Losmina, roztwór do wstrzykiwań w ampułko-strzykawce, 60 mg/0,6 ml",10 amp.-strz.,05909991379100
565,Enoxaparinum natricum,"Losmina, roztwór do wstrzykiwań w ampułko-strzykawce, 80 mg/0,8 ml",10 amp.-strz.,05909991378943
566,Enoxaparinum natricum,"Neoparin Forte, roztwór do wstrzykiwań w ampułko-strzykawce, 120 mg/0,8 ml",10 amp.-strz.,05906395161126
567,Enoxaparinum natricum,"Neoparin Forte, roztwór do wstrzykiwań w ampułko-strzykawce, 150 mg/1 ml",10 amp.-strz.,05906395161164
568,Enoxaparinum natricum,"Neoparin, roztwór do wstrzykiwań, 100 mg/1 ml",10 amp.-strz.po 1 ml,05906395161096
569,Enoxaparinum natricum,"Neoparin, roztwór do wstrzykiwań, 20 mg/0,2 ml","10 amp.-strz.po 0,2 ml",05906395161010
570,Enoxaparinum natricum,"Neoparin, roztwór do wstrzykiwań, 40 mg/0,4 ml","10 amp.-strz.po 0,4 ml",05906395161034
571,Enoxaparinum natricum,"Neoparin, roztwór do wstrzykiwań, 60 mg/0,6 ml","10 amp.-strz.po 0,6 ml",05906395161058
572,Enoxaparinum natricum,"Neoparin, roztwór do wstrzykiwań, 80 mg/0,8 ml","10 amp.-strz.po 0,8 ml",05906395161072
573,Eprosartanum,"Teveten, tabl. powl., 600 mg",14 szt. (1 blist.po 14 szt.),05909990868414
574,Ezetimibum,"Esetin, tabletki, 10 mg",30 tabl.,05909991388669
575,Ezetimibum,"Etibax, tabl., 10 mg",28 szt.,05909991402303
576,Ezetimibum,"Etibax, tabl., 10 mg",90 szt.,05909991402310
577,Ezetimibum,"Ezehron, tabletki, 10 mg",28 tabl.,05909991347161
578,Ezetimibum,"Ezen, tabletki, 10 mg",28 szt.,05909991096229
579,Ezetimibum,"Ezetimibe Mylan, tabl., 10 mg",28 szt.,05909991189822
580,Ezetimibum,"Ezoleta, tabletki, 10 mg",30 szt.,05909991311407
581,Ezetimibum,"Ezolip, tabletki, 10 mg",30 tabl.,05909991304416
582,Ezetimibum,"Lipegis, tabletki, 10 mg",30 tabl.,05909990996902
583,Ezetimibum,"Mizetib, tabletki, 10 mg",28 tabl.,05903060613973
584,Ezetimibum,"Symezet, tabletki w blistrze, 10 mg",30 szt.,05909991347529
585,Felodipinum,"Plendil, tabl. o przedłużonym uwalnianiu, 10 mg",28 szt.,05909990344918
586,Felodipinum,"Plendil, tabl. o przedłużonym uwalnianiu, 5 mg",28 szt.,05909990344819
587,Fenofibratum,"Apo-Feno 200 M, kaps. twarde, 200 mg",30 szt.,05909990909414
588,Fenofibratum,"Biofibrat, kaps. twarde, 200 mg",30 szt.,05909990754496
589,Fenofibratum,"Biofibrat, kaps. twarde, 267 mg",30 szt.,05909990754526
590,Fenofibratum,"Fenardin, kaps. twarde, 160 mg",30 szt. (3 blist.po 10),05909990713974
591,Fenofibratum,"Fenardin, kaps. twarde, 267 mg",30 szt. (3 blist.po 10 szt.),05909990611065
592,Fenofibratum,"Grofibrat 200, kaps., 200 mg",30 szt.,05909990492114
593,Fenofibratum,"Grofibrat M, kapsułki twarde, 267 mg",30 kaps.,05907594032309
594,Fenofibratum,"Grofibrat M, kapsułki twarde, 267 mg",60 kaps.,05907594032408
595,Fenofibratum,"Grofibrat M, kapsułki twarde, 267 mg",90 kaps.,05907594032507
596,Fenofibratum,"Grofibrat S, tabl. powl., 160 mg",30 tabl.,05909991212339
597,Fenofibratum,"Grofibrat S, tabl. powl., 215 mg",30 tabl.,05909991201173
598,Fenofibratum,"Grofibrat S, tabletki powlekane, 160 mg",60 szt.,05907594031500
599,Fenofibratum,"Grofibrat S, tabletki powlekane, 160 mg",90 szt.,05907594031609
600,Fenofibratum,"Grofibrat S, tabletki powlekane, 215 mg",60 szt.,05907594031708
601,Fenofibratum,"Grofibrat S, tabletki powlekane, 215 mg",90 szt.,05907594031807
602,Fenofibratum,"Grofibrat, kaps., 100 mg",50 szt.,05909990109814
603,Fenofibratum,"Lipanthyl 200M, kaps., 200 mg",30 szt. (2 blist.po 15 szt.),05909990687947
604,Fenofibratum,"Lipanthyl 267M, kaps., 267 mg",30 szt.,05909990492817
605,Fenofibratum,"Lipanthyl Supra 160, tabl. powl., 160 mg",30 szt. (3 blist.po 10 szt.),05909990903917
606,Fenofibratum,"Lipanthyl Supra 215 mg, tabl. powl., 215 mg",30 szt. (3 blist.po 10 szt.),05909990431342
607,Fenoterolum,"Berotec N 100, aerozol inhalacyjny, roztwór, 100 µg/dawkę",1 poj.po 10 ml (200 daw.),05909990376414
608,Fenoterolum + Ipratropii bromidum,"Berodual N, aerozol inhalacyjny, roztwór, 50+21 µg/dawkę inhalacyjną",1 poj.po 200 dawek,05909990917815
609,Fenoterolum + Ipratropii bromidum,"Berodual, roztwór do nebulizacji, 0,5+0,25 mg/ml",20 ml,05909990101917
610,Finasteridum,"Adaster, tabl. powl., 5 mg",30 szt.,05909990711949
611,Finasteridum,"Adaster, tabl. powl., 5 mg",90 szt.,05909990711987
612,Finasteridum,"Androster, tabl. powl., 5 mg",30 szt.,05909990055470
613,Finasteridum,"Androster, tabl. powl., 5 mg",90 szt.,05909990906154
614,Finasteridum,"Antiprost, tabl. powl., 5 mg",30 tabl.,05909990067770
615,Finasteridum,"Apo-Fina, tabl. powl., 5 mg",30 szt. (2 blist.po 15 szt.),05909990048670
616,Finasteridum,"Apo-Fina, tabl. powl., 5 mg",90 szt.,05909990938797
617,Finasteridum,"FinaGen, tabl. powl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990692781
618,Finasteridum,"Finamef, tabl. powl., 5 mg",30 szt.,05909990713127
619,Finasteridum,"Finamef, tabl. powl., 5 mg",30 szt.,05909991222673
620,Finasteridum,"Finamef, tabl. powl., 5 mg",30 szt.,05909991282288
621,Finasteridum,"Finamef, tabl. powl., 5 mg",90 szt.,05909990713141
622,Finasteridum,"Finaran, tabl. powl., 5 mg",30 szt. (2 blist.po 15 szt.),05909990082391
623,Finasteridum,"Finaster, tabl. powl., 5 mg",120 szt.,05909991207311
624,Finasteridum,"Finaster, tabl. powl., 5 mg",30 szt. (2 blist.po 15 szt.),05909991151218
625,Finasteridum,"Finaster, tabl. powl., 5 mg",90 szt.,05909990811045
626,Finasteridum,"Finasterid Stada 5 mg tabletki powlekane, tabl. powl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990055098
627,Finasteridum,"Finasterid Stada 5 mg tabletki powlekane, tabletki powlekane, 5 mg",120 tabl.,05909991284053
628,Finasteridum,"Finasterid Stada 5 mg tabletki powlekane, tabletki powlekane, 5 mg",90 tabl.,05909991289430
629,Finasteridum,"Finasteridum Bluefish, tabl. powl., 5 mg",30 szt.,05909991096571
630,Finasteridum,"Finasteridum Bluefish, tabl. powl., 5 mg",90 szt.,05909991096601
631,Finasteridum,"Finiprost, tabletki powlekane, 5 mg",30 szt.,05909991317720
632,Finasteridum,"Finpros 5 mg, tabl. powl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990017973
633,Finasteridum,"Finxta, tabl. powl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990050895
634,Finasteridum,"Hyplafin, tabl. powl., 5 mg",30 szt. (3 blist.po 10 szt.),05909990017997
635,Finasteridum,"Penester, tabl. powl., 5 mg",30 szt. (2 blist.po 15 szt.),05909990077267
636,Finasteridum,"Penester, tabl. powl., 5 mg",90 szt. (6 blist.po 15 szt.),05909990077274
637,Finasteridum,"Proscar, tabl. powl., 5 mg",28 szt. (2 blist.po 14 szt.),05909990362110
638,Finasteridum,"Symasteride, tabl. powl., 5 mg",30 szt. (2 blist.po 15 szt.),05909990074105
639,Finasteridum,"Symasteride, tabl. powl., 5 mg",90 tabl.,05909991107871
640,Finasteridum,"Uronezyr, tabl. powl., 5 mg",30 szt.,05909991088842
641,Finasteridum,"Zasterid, tabl. powl., 5 mg",28 szt.,05909991053710
642,Fluconazolum,"Candifluc, syrop, 5 mg/ml",1 but. 150 ml,05909991257804
643,Fluconazolum,"Fluconazin, syrop, 5 mg/ml",1 but.po 150 ml,05909991097219
644,Fluconazolum,"Fluconazole Hasco, syrop, 5 mg/ml",1 but. 150 ml,05909991273798
645,Fluconazolum,"Fluconazole Polfarmex, syrop, 5 mg/ml",150 ml (but.),05909990859511
646,Fluconazolum,"Flumycon, syrop, 5 mg/ml",150 ml w butelce,05909990841707
647,Fludrocortisonum,"Cortineff, tabl., 100 µg",20 szt.,05904374007885
648,Fludrocortisonum,"Cortineff, tabl., 100 µg",20 szt.,05909990170319
649,Fluoxetinum,"Andepin, kaps. twarde, 20 mg",30 szt. (3 blist.po 10 szt.),05909991065515
650,Fluoxetinum,"Bioxetin, tabl., 20 mg",30 szt.,05909990372317
651,Fluoxetinum,"Fluoksetyna EGIS, kaps. twarde, 20 mg",28 szt.,05909990776955
652,Fluoxetinum,"Fluoxetin Polpharma, kaps. twarde, 20 mg",30 szt. (3 blist.po 10 szt.),05909990770311
653,Fluoxetinum,"Fluoxetine Aurovitas, kaps. twarde, 20 mg",30 tabl.,05909991317621
654,Fluoxetinum,"Fluxemed, kaps. twarde, 20 mg",30 szt. (3 blist.po 10 szt.),05909990742509
655,Fluoxetinum,"Seronil, tabl. powl., 10 mg",100 szt. (10 blist.po 10 szt.),05909990374328
656,Fluoxetinum,"Seronil, tabl. powl., 10 mg",30 szt. (3 blist.po 10 szt.),05909990374311
657,Fluticasoni propionas,"Cutivate, krem, 0,5 mg/g",15 g,05909990365012
658,Fluticasoni propionas,"Cutivate, maść, 0,05 mg/g",15 g,05909990365111
659,Fluticasoni propionas + Salmeterolum,"AirFluSal Forspiro, proszek do inhalacji, 250+50 µg",1 inh.po 60 daw.,05909991274931
660,Fluticasoni propionas + Salmeterolum,"AirFluSal Forspiro, proszek do inhalacji, 500+50 µg",1 inh.po 60 daw.,05909991274955
661,Fluticasoni propionas + Salmeterolum,"Asaris, proszek do inhalacji, 100+50 (µg + µg)/dawkę inhalacyjną",1 inhalator 60 dawek,05909991034870
662,Fluticasoni propionas + Salmeterolum,"Asaris, proszek do inhalacji, 250+50 (µg + µg)/dawkę inhalacyjną",1 inhalator 60 dawek,05909991034887
663,Fluticasoni propionas + Salmeterolum,"Asaris, proszek do inhalacji, 500+50 (µg + µg)/dawkę inhalacyjną",1 inhalator 60 dawek,05909991034894
664,Fluticasoni propionas + Salmeterolum,"Comboterol, aerozol inhalacyjny, zawiesina, 125+25 µg/dawkę inhalacyjną",1 poj. 120 dawek,05906720534670
665,Fluticasoni propionas + Salmeterolum,"Comboterol, aerozol inhalacyjny, zawiesina, 250+25 µg/dawkę inhalacyjną",1 poj. 120 dawek,05906720534687
666,Fluticasoni propionas + Salmeterolum,"Fluticomb, aerozol inhalacyjny, zawiesina, 125+25 µg/dawkę inhalacyjną",1 inhalator 120 dawek,05909991403959
667,Fluticasoni propionas + Salmeterolum,"Fluticomb, aerozol wziewny, zawiesina, 250+25 µg/dawkę odmierzoną",1 inhalator 120 dawek,05909991403966
668,Fluticasoni propionas + Salmeterolum,"Fluticomb, aerozol wziewny, zawiesina, 50+25 µg/dawkę odmierzoną",1 inhalator 120 dawek,05909991403898
669,Fluticasoni propionas + Salmeterolum,"Salflumix Easyhaler, proszek do inhalacji, 250+50 µg/dawkę odmierzoną",1 inh.po 60 daw.,05909991383626
670,Fluticasoni propionas + Salmeterolum,"Salflumix Easyhaler, proszek do inhalacji, 500+50 µg/dawkę odmierzoną",1 inh.po 60 daw.,05909991383657
671,Fluticasoni propionas + Salmeterolum,"Salmex, proszek do inhalacji, 100+50 (µg + µg)/dawkę inhalacyjną",1 inhalator (60 dawek),05909991034900
672,Fluticasoni propionas + Salmeterolum,"Salmex, proszek do inhalacji, 250+50 (µg + µg)/dawkę inhalacyjną",1 inhalator (60 dawek),05909991034924
673,Fluticasoni propionas + Salmeterolum,"Salmex, proszek do inhalacji, 500+50 (µg + µg)/dawkę inhalacyjną",1 inhalator (60 dawek),05909991034931
674,Fluticasoni propionas + Salmeterolum,"Seretide 125, aerozol wziewny, zawiesina, 125+25 µg/dawkę inhalacyjną",120 daw. (1 poj.po 120 daw.),05909990907014
675,Fluticasoni propionas + Salmeterolum,"Seretide 250, aerozol wziewny, zawiesina, 250+25 µg/dawkę inhalacyjną",120 daw. (1 poj.po 120 daw.),05909990907113
676,Fluticasoni propionas + Salmeterolum,"Seretide 50, aerozol wziewny, zawiesina, 50+25 µg/dawkę inhalacyjną",120 daw. (1 poj.po 120 daw.),05909990906918
677,Fluticasoni propionas + Salmeterolum,"Seretide Dysk 100, proszek do inhalacji, 100+50 µg/dawkę inhalacyjną",1 poj.po 60 daw.,05909990832422
678,Fluticasoni propionas + Salmeterolum,"Seretide Dysk 250, proszek do inhalacji, 250+50 µg/dawkę inhalacyjną",1 poj.po 60 daw.,05909990832521
679,Fluticasoni propionas + Salmeterolum,"Seretide Dysk 500, proszek do inhalacji, 500+50 µg/dawkę inhalacyjną",1 poj.po 60 daw.,05909990832620
680,Fluticasoni propionas + Salmeterolum,"Symflusal, proszek do inhalacji, 250+50 µg/dawkę inhalacyjną",1 blister 60 dawek  + inhalator Elpenhaler,05909991078980
681,Fluticasoni propionas + Salmeterolum,"Symflusal, proszek do inhalacji, 500+50 µg/dawkę inhalacyjną",1 blister 60 dawek  + inhalator Elpenhaler,05909991079055
682,Fluticasonum,"Flixotide Dysk, proszek do inhalacji, 100 µg/dawkę inhalacyjną",60 daw.,05909990484621
683,Fluticasonum,"Flixotide Dysk, proszek do inhalacji, 250 µg/dawkę inhalacyjną",60 daw.,05909990484720
684,Fluticasonum,"Flixotide Dysk, proszek do inhalacji, 50 µg/dawkę inhalacyjną",60 daw.,05909990484522
685,Fluticasonum,"Flixotide Dysk, proszek do inhalacji, 500 µg/dawkę inhalacyjną",60 daw.,05909990484829
686,Fluticasonum,"Flixotide, aerozol inhalacyjny, zawiesina, 125 µg",120 daw.,05909990851423
687,Fluticasonum,"Flixotide, aerozol inhalacyjny, zawiesina, 125 µg",60 daw.,05909990851416
688,Fluticasonum,"Flixotide, aerozol inhalacyjny, zawiesina, 250 µg",120 daw.,05909990851522
689,Fluticasonum,"Flixotide, aerozol inhalacyjny, zawiesina, 250 µg",60 daw.,05909990851515
690,Fluticasonum,"Flixotide, aerozol inhalacyjny, zawiesina, 50 µg",120 daw.,05909990851317
691,Fluticasonum,"Flutixon, proszek do inhalacji w kaps. twardej, 125 µg",120 kaps.,05909990938001
692,Fluticasonum,"Flutixon, proszek do inhalacji w kaps. twardej, 125 µg/dawkę inhalacyjną",60 kaps.,05909990785858
693,Fluticasonum,"Flutixon, proszek do inhalacji w kaps. twardej, 250 µg",120 kaps.,05909990938025
694,Fluticasonum,"Flutixon, proszek do inhalacji w kaps. twardej, 250 µg/dawkę inhalacyjną",60 kaps.,05909990785889
695,Fluvoxamini maleas,"Fevarin, tabl. powl., 100 mg",30 szt.,05909991431211
696,Fluvoxamini maleas,"Fevarin, tabl. powl., 50 mg",60 szt.,05909991431167
697,Fluvoxaminum,"Fevarin, tabl. powl., 100 mg",30 szt.,05909990347827
698,Fluvoxaminum,"Fevarin, tabl. powl., 50 mg",60 szt.,05909990347728
699,Formoteroli fumaras,"Foradil, proszek do inhalacji w kaps. twardych, 12 μg",180 szt.,07613421020934
700,Formoteroli fumaras,"Foramed, proszek do inhalacji w kaps. twardych, 12 µg/dawkę inhalacyjną",60 szt. (6 blist.po 10 szt.) + inh.,05909991109523
701,Formoteroli fumaras,"Zafiron, proszek do inhalacji w kaps. twardych, 12 µg",120 kaps.,05909990937981
702,Formoteroli fumaras dihydricus,"Oxodil PPH, proszek do inhalacji w kaps. twardych, 12 µg",60 kaps.,05909990849000
703,Formoterolum,"Atimos, aerozol inhalacyjny, roztwór, 12 µg/dawkę odmierzoną",1 szt. (1 poj.po 120 daw.),05909990620777
704,Formoterolum,"Foradil, proszek do inhalacji w kaps. twardych, 12 µg",60 szt. (6 blist.po 10 szt.),05909990792924
705,Formoterolum,"Foramed, proszek do inhalacji w kaps. twardych, 12 µg/dawkę inhalacyjną",120 szt.,05909991086602
706,Formoterolum,"Forastmin, proszek do inhalacji w kaps. twardej, 12 µg",60 szt. (1 but.po 60 szt.),05909990614400
707,Formoterolum,"Forastmin, proszek do inhalacji w kapsułce twardej, 12 μg",120 szt (2 but.po 60 szt.),05909991218287
708,Formoterolum,"Forastmin, proszek do inhalacji w kapsułce twardej, 12 μg",180 szt (3 but.po 60 szt.),05909991218294
709,Formoterolum,"Formoterol Easyhaler, proszek do inhalacji, 12 mcg",1 poj. (120 daw.) (+ op.ochr.),05909990337446
710,Formoterolum,"Oxis Turbuhaler, proszek do inhalacji, 4,5 µg/dawkę",1 inh.po 60 daw.,05909990445219
711,Formoterolum,"Oxis Turbuhaler, proszek do inhalacji, 9 µg/dawkę",1 inh.po 60 daw.,05909990445318
712,Formoterolum,"Oxodil PPH, proszek do inhalacji w kaps. twardych, 12 µg",120 szt.,05909990996681
713,Formoterolum,"Zafiron, proszek do inhalacji w kaps. twardych, 12 µg",60 kaps. (6 blist.po 10 kaps.),05909990975914
714,Furaginum/Furazidinum,"Furaginum Adamed, tabl., 50 mg",30 szt.,05909990357215
715,Furaginum/Furazidinum,"Furaginum Teva, tabl., 50 mg",30 szt.,05909990988235
716,Furaginum/Furazidinum,"Furaginum Teva, tabletki, 100 mg",30 tabl.,05909991373238
717,Furaginum/Furazidinum,"Furazek, tabletki, 100 mg",30 tabl.,05909991304102
718,Furosemidum,"Furosemidum Polfarmex, tabl., 40 mg",30 szt. (3 blist.po 10 szt.),05909990223794
719,Furosemidum,"Furosemidum Polpharma, tabl., 40 mg",30 szt.,05909990135028
720,Gabapentinum,"Gabagamma 100, kaps. twarde, 100 mg",100 szt. (10 blist.po 10 szt.),05909990714322
721,Gabapentinum,"Gabapentin Aurovitas, kaps. twarde, 100 mg",100 szt.,05909991331108
722,Gabapentinum,"Gabapentin Aurovitas, kaps. twarde, 300 mg",100 szt.,05909991331153
723,Gabapentinum,"Gabapentin Aurovitas, kaps. twarde, 400 mg",100 szt.,05909991331207
724,Gabapentinum,"Gabapentin Teva, kaps. twarde, 100 mg",100 szt. (10 blist.po 10 szt.),05909990339495
725,Gabapentinum,"Gabapentin Teva, kaps. twarde, 300 mg",100 szt.,05909991425340
726,Gabapentinum,"Gabapentin Teva, kaps. twarde, 300 mg",100 szt. (10 blist.po 10 szt.),05909990339709
727,Gabapentinum,"Gabapentin Teva, kaps. twarde, 400 mg",100 szt. (10 blist.po 10 szt.),05909990339600
728,Gabapentinum,"Gabapentin Teva, tabl. powl., 600 mg",100 szt. (10 blist.po 10 szt.),05909990338542
729,Gabapentinum,"Gabapentin Teva, tabl. powl., 800 mg",100 szt. (10 blist.po 10 szt.),05909990338658
730,Gabapentinum,"Neuran 100, kaps. twarde, 100 mg",1 but.po 100 szt.,05909990651535
731,Gabapentinum,"Neuran 300, kaps. twarde, 300 mg",1 but.po 100 szt.,05909990651566
732,Gabapentinum,"Neuran 400, kaps. twarde, 400 mg",1 but.po 100 szt.,05909990651603
733,Gabapentinum,"Neurontin 100, kaps. twarde, 100 mg",100 szt. (10 blist.po 10 szt.),05909990769216
734,Gabapentinum,"Neurontin 300, kaps. twarde, 300 mg",100 szt. (10 blist.po 10 szt.),05909990769315
735,Gabapentinum,"Neurontin 400, kaps. twarde, 400 mg",100 szt. (10 blist.po 10 szt.),05909990769414
736,Gabapentinum,"Neurontin 600, tabl. powl., 600 mg",100 szt. (10 blist.po 10 szt.),05909991017422
737,Gabapentinum,"Neurontin 800, tabl. powl., 800 mg",100 szt. (10 blist.po 10 szt.),05909991017521
738,Gabapentinum,"Symleptic, kaps. twarde, 100 mg",100 szt. (10 blist.po 10 szt.),05909990685554
739,Gabapentinum,"Symleptic, kaps. twarde, 300 mg",100 szt. (10 blist.po 10 szt.),05909990685561
740,Gentamicinum,"Gentamicin KRKA, roztwór do wstrzykiwań i infuzji, 40 mg/ml",10 amp.po 1 ml,05909990095711
741,Gentamicinum,"Gentamicin KRKA, roztwór do wstrzykiwań i infuzji, 40 mg/ml",10 amp.po 2 ml,05909990095728
742,Gentamicinum,"Gentamicin WZF 0,3%, krople do oczu, roztwór, 3 mg/ml",1 but.po 5 ml,05909990092413
743,Gliclazidum,"Clazicon, tabl. o zmodyfikowanym uwalnianiu, 30 mg",60 szt.,05909991267155
744,Gliclazidum,"Clazicon, tabl. o zmodyfikowanym uwalnianiu, 60 mg",30 szt.,05909991267162
745,Gliclazidum,"Diabrezide, tabl., 80 mg",40 szt. (2 blist.po 20 szt.),05909990359912
746,Gliclazidum,"Diagen, tabletki o zmodyfikowanym uwalnianiu, 60 mg",30 szt.,05909991216023
747,Gliclazidum,"Diaprel MR, tabl. o zmodyfikowanym uwalnianiu, 30 mg",60 szt. (2 blist.po 30 szt.),05909990443017
748,Gliclazidum,"Diazidan, tabl., 80 mg",60 szt. (3 blist.po 20 szt.),05909990911127
